type,content
paragraph,"Wadham College, founded in 1610, was the undergraduate college of Sir Christopher Wren. Wren was part of a brilliant group of experimental scientists at Oxford in the 1650s, the Oxford Philosophical Club, which included Robert Boyle and Robert Hooke. This group, which has at times been linked with Boyle's ""Invisible College"", held regular meetings at Wadham under the guidance of the college's Warden, John Wilkins, and the group formed the nucleus that went on to found the Royal Society.[41]"
paragraph,"Before reforms in the early 19th century, the curriculum at Oxford was notoriously narrow and impractical. Sir Spencer Walpole, a historian of contemporary Britain and a senior government official, had not attended any university. He said, ""Few medical men, few solicitors, few persons intended for commerce or trade, ever dreamed of passing through a university career."" He quoted the Oxford University Commissioners in 1852 stating: ""The education imparted at Oxford was not such as to conduce to the advancement in life of many persons, except those intended for the ministry.""[42] Nevertheless, Walpole argued:"
paragraph,"Among the many deficiencies attending a university education there was, however, one good thing about it, and that was the education which the undergraduates gave themselves. It was impossible to collect some thousand or twelve hundred of the best young men in England, to give them the opportunity of making acquaintance with one another, and full liberty to live their lives in their own way, without evolving in the best among them, some admirable qualities of loyalty, independence, and self-control. If the average undergraduate carried from University little or no learning, which was of any service to him, he carried from it a knowledge of men and respect for his fellows and himself, a reverence for the past, a code of honour for the present, which could not but be serviceable. He had enjoyed opportunities... of intercourse with men, some of whom were certain to rise to the highest places in the Senate, in the Church, or at the Bar. He might have mixed with them in his sports, in his studies, and perhaps in his debating society; and any associations which he had this formed had been useful to him at the time, and might be a source of satisfaction to him in after life.[43]"
paragraph,"Out of the students who matriculated in 1840, 65% were sons of professionals (34% were Anglican ministers). After graduation, 87% became professionals (59% as Anglican clergy). Out of the students who matriculated in 1870, 59% were sons of professionals (25% were Anglican ministers). After graduation, 87% became professionals (42% as Anglican clergy).[44][45]"
paragraph,"M. C. Curthoys and H. S. Jones argue that the rise of organised sport was one of the most remarkable and distinctive features of the history of the universities of Oxford and Cambridge in the late 19th and early 20th centuries. It was carried over from the athleticism prevalent at the public schools such as Eton, Winchester, Shrewsbury, and Harrow.[46]"
paragraph,"All students, regardless of their chosen area of study, were required to spend (at least) their first year preparing for a first-year examination that was heavily focused on classical languages. Science students found this particularly burdensome and supported a separate science degree with Greek language study removed from their required courses. This concept of a Bachelor of Science had been adopted at other European universities (London University had implemented it in 1860) but an 1880 proposal at Oxford to replace the classical requirement with a modern language (like German or French) was unsuccessful. After considerable internal wrangling over the structure of the arts curriculum, in 1886 the ""natural science preliminary"" was recognised as a qualifying part of the first year examination.[47]"
paragraph,"At the start of 1914, the university housed about 3,000 undergraduates and about 100 postgraduate students. During the First World War, many undergraduates and fellows joined the armed forces. By 1918 virtually all fellows were in uniform, and the student population in residence was reduced to 12 per cent of the pre-war total.[48] The University Roll of Service records that, in total, 14,792 members of the university served in the war, with 2,716 (18.36%) killed.[49] Not all the members of the university who served in the Great War were on the Allied side; there is a remarkable memorial to members of New College who served in the German armed forces, bearing the inscription, 'In memory of the men of this college who coming from a foreign land entered into the inheritance of this place and returning fought and died for their country in the war 1914–1918'. During the war years the university buildings became hospitals, cadet schools and military training camps.[48]"
paragraph,"Two parliamentary commissions in 1852 issued recommendations for Oxford and Cambridge. Archibald Campbell Tait, a former headmaster of Rugby School, was a key member of the Oxford Commission; he wanted Oxford to follow the German and Scottish model in which the professorship was paramount. The commission's report envisioned a centralised university run predominantly by professors and faculties, with a much stronger emphasis on research. The professional staff should be strengthened and better paid. For students, restrictions on entry should be dropped, and more opportunities given to poorer families. It called for an enlargement of the curriculum, with honours to be awarded in many new fields. Undergraduate scholarships should be open to all Britons. Graduate fellowships should be opened up to all members of the university. It recommended that fellows be released from an obligation for ordination. Students were to be allowed to save money by boarding in the city, instead of in a college.[50][51]"
paragraph,"The system of separate honour schools for different subjects began in 1802, with Mathematics and Literae Humaniores.[52] Schools of ""Natural Sciences"" and ""Law, and Modern History"" were added in 1853.[52] By 1872, the last of these had split into ""Jurisprudence"" and ""Modern History"". Theology became the sixth honour school.[53] In addition to these B.A. Honours degrees, the postgraduate Bachelor of Civil Law (B.C.L.) was, and still is, offered.[54]"
paragraph,"The mid-19th century saw the impact of the Oxford Movement (1833–1845), led among others by the future Cardinal John Henry Newman."
paragraph,"Administrative reforms during the 19th century included the replacement of oral examinations with written entrance tests, greater tolerance for religious dissent, and the establishment of four women's colleges. Privy Council decisions in the 20th century (e.g. the abolition of compulsory daily worship, dissociation of the Regius Professorship of Hebrew from clerical status, diversion of colleges' theological bequests to other purposes) loosened the link with traditional belief and practice. Furthermore, although the university's emphasis had historically been on classical knowledge, its curriculum expanded during the 19th century to include scientific and medical studies."
paragraph,The University of Oxford began to award doctorates for research in the first third of the 20th century. The first Oxford DPhil in mathematics was awarded in 1921.[55]
paragraph,"The list of distinguished scholars at the University of Oxford is long and includes many who have made major contributions to politics, the sciences, medicine, and literature. As of October 2022, 73 Nobel laureates and more than 50 world leaders have been affiliated with the University of Oxford.[18]"
paragraph,"The university passed a statute in 1875 allowing examinations for women at roughly undergraduate level;[56] for a brief period in the early 1900s, this allowed the ""steamboat ladies"" to receive ad eundem degrees from the University of Dublin.[57] In June 1878, the Association for the Education of Women (AEW) was formed, aiming for the eventual creation of a college for women in Oxford. Some of the more prominent members of the association were George Granville Bradley, T. H. Green and Edward Stuart Talbot. Talbot insisted on a specifically Anglican institution, which was unacceptable to most of the other members. The two parties eventually split, and Talbot's group founded Lady Margaret Hall in 1878, while T. H. Green founded the non-denominational Somerville College in 1879.[58] Lady Margaret Hall and Somerville opened their doors to their first 21 students (12 at Somerville, 9 at Lady Margaret Hall) in 1879, who attended lectures in rooms above an Oxford baker's shop.[56] There were also 25 women students living at home or with friends in 1879, a group which evolved into the Society of Oxford Home-Students and in 1952 into St Anne's College.[59][60]"
paragraph,"These first three societies for women were followed by St Hugh's (1886)[61] and St Hilda's (1893).[62] All of these colleges later became coeducational, starting with Lady Margaret Hall and St Anne's in 1979,[63][59] and finishing with St Hilda's, which began to accept male students in 2008.[64] In the early 20th century, Oxford and Cambridge were widely perceived to be bastions of male privilege;[65] however, the integration of women into Oxford moved forward during the First World War. In 1916 women were admitted as medical students on a par with men, and in 1917 the university accepted financial responsibility for women's examinations.[48]"
paragraph,"On 7 October 1920 women became eligible for admission as full members of the university and were given the right to take degrees.[66] In 1927 the university's dons created a quota that limited the number of female students to a quarter that of men, a ruling which was not abolished until 1957.[56] However, during this period Oxford colleges were single sex, so the number of women was also limited by the capacity of the women's colleges to admit students. It was not until 1959 that the women's colleges were given full collegiate status.[67]"
paragraph,"In 1974, Brasenose, Jesus, Wadham, Hertford and St Catherine's became the first previously all-male colleges to admit women.[68][69] The majority of men's colleges accepted their first female students in 1979,[69] with Christ Church following in 1980,[70] and Oriel becoming the last men's college to admit women in 1985.[71] Most of Oxford's graduate colleges were founded as coeducational establishments in the 20th century, with the exception of St Antony's, which was founded as a men's college in 1950 and began to accept women only in 1962.[72] By 1988, 40% of undergraduates at Oxford were female;[73] in 2016, 45% of the student population, and 47% of undergraduate students, were female.[74][75]"
paragraph,"In June 2017, Oxford announced that starting the following academic year, history students may choose to sit a take-home exam in some courses, with the intention that this will equalise rates of firsts awarded to women and men at Oxford.[76] That same summer, maths and computer science tests were extended by 15 minutes, in a bid to see if female student scores would improve.[77][78]"
paragraph,"The detective novel Gaudy Night by Dorothy L. Sayers, herself one of the first women to gain an academic degree from Oxford, is largely set in the all-female Shrewsbury College, Oxford (based on Sayers' own Somerville College[79]), and the issue of women's education is central to its plot. Social historian and Somerville College alumna Jane Robinson's book Bluestockings: A Remarkable History of the First Women to Fight for an Education gives a very detailed and immersive account of this history.[80]"
paragraph,"The university is a ""city university"" in that it does not have a main campus; instead, colleges, departments, accommodation, and other facilities are scattered throughout the city centre. The Science Area, in which most science departments are located, is the area that bears closest resemblance to a campus. The ten-acre (4-hectare) Radcliffe Observatory Quarter in the northwest of the city is currently under development."
paragraph,"Iconic university buildings include the Radcliffe Camera, the Sheldonian Theatre used for music concerts, lectures, and university ceremonies, and the Examination Schools, where examinations and some lectures take place. The University Church of St Mary the Virgin was used for university ceremonies before the construction of the Sheldonian."
paragraph,"In 2012–2013, the university built the controversial one-hectare (400 m × 25 m) Castle Mill development of 4–5-storey blocks of student flats overlooking Cripley Meadow and the historic Port Meadow, blocking views of the spires in the city centre.[81] The development has been likened to building a ""skyscraper beside Stonehenge"".[82]"
paragraph,"The University Parks are a 70-acre (28 ha) parkland area in the northeast of the city, near Keble College, Somerville College and Lady Margaret Hall. It is open to the public during daylight hours."
paragraph,"The Botanic Garden on the High Street is the oldest botanic garden in the UK. It contains over 8,000 different plant species on 1.8 ha (4+1⁄2 acres). It is one of the most diverse yet compact major collections of plants in the world and includes representatives of over 90% of the higher plant families. The Harcourt Arboretum is a 130-acre (53 ha) site six miles (9.7 km) south of the city that includes native woodland and 67 acres (27 hectares) of meadow. The 1,000-acre (4.0 km2) Wytham Woods are owned by the university and used for research in zoology and climate change.[83]"
paragraph,"There are also various college-owned open spaces open to the public, including Bagley Wood and most notably Christ Church Meadow.[84]"
paragraph,"Colleges arrange the tutorial teaching for their undergraduates, and the members of an academic department are spread around many colleges. Though certain colleges do have subject alignments (e.g., Nuffield College as a centre for the social sciences), these are exceptions, and most colleges will have a broad mix of academics and students from a diverse range of subjects. Facilities such as libraries are provided on all these levels: by the central university (the Bodleian), by the departments (individual departmental libraries, such as the English Faculty Library), and by colleges (each of which maintains a multi-discipline library for the use of its members).[85]"
paragraph,"The university's formal head is the Chancellor, currently Lord Patten of Barnes (due to retire in 2024), though as at most British universities, the Chancellor is a titular figurehead and is not involved with the day-to-day running of the university. The Chancellor is elected by the members of Convocation, a body comprising all graduates of the university, and may hold office until death.[86]"
paragraph,"The Vice-Chancellor, currently Irene Tracey,[6] is the de facto head of the university. Five pro-vice-chancellors have specific responsibilities for education; research; planning and resources; development and external affairs; and personnel and equal opportunities."
paragraph,"Two university proctors, elected annually on a rotating basis from any two of the colleges, are the internal ombudsmen who make sure that the university and its members adhere to its statutes. This role incorporates student discipline and complaints, as well as oversight of the university's proceedings.[87] The university's professors are collectively referred to as the Statutory Professors of the University of Oxford. They are particularly influential in the running of the university's graduate programmes. Examples of statutory professors are the Chichele Professorships and the Drummond Professor of Political Economy."
paragraph,"The University of Oxford is only a ""public university"" in the sense that it receives some public money from the government, but it is a ""private university"" in the sense that it is entirely self-governing and, in theory, could choose to become entirely private by rejecting public funds.[88]"
paragraph,"To be a member of the university, all students, and most academic staff, must also be a member of a college or hall. There are thirty-nine colleges of the University of Oxford and four permanent private halls (PPHs), each controlling its membership and with its own internal structure and activities.[16] Not all colleges offer all courses, but they generally cover a broad range of subjects."
paragraph,The colleges are:
paragraph,"The permanent private halls were founded by different Christian denominations. One difference between a college and a PPH is that whereas colleges are governed by the fellows of the college, the governance of a PPH resides, at least in part, with the corresponding Christian denomination. The four current PPHs are:"
paragraph,"The PPHs and colleges join as the Conference of Colleges, which represents the common concerns of the several colleges of the university, to discuss matters of shared interest and to act collectively when necessary, such as in dealings with the central university.[89][90] The Conference of Colleges was established as a recommendation of the Franks Commission in 1965.[91]"
paragraph,"Teaching members of the colleges (i.e. fellows and tutors) are collectively and familiarly known as dons, although the term is rarely used by the university itself. In addition to residential and dining facilities, the colleges provide social, cultural, and recreational activities for their members. Colleges have responsibility for admitting undergraduates and organising their tuition; for graduates, this responsibility falls upon the departments."
paragraph,"In 2017–18, the university had an income of £2,237m; key sources were research grants (£579.1m) and academic fees (£332.5m).[92] The colleges had a total income of £492.9m.[93]"
paragraph,"While the university has a larger annual income and operating budget, the colleges have a larger aggregate endowment: over £6.4bn compared to the university's £1.2bn.[94] The central University's endowment, along with some of the colleges', is managed by the university's wholly-owned endowment management office, Oxford University Endowment Management, formed in 2007.[95] The university used to maintain substantial investments in fossil fuel companies.[96] However, in April 2020, the university committed to divest from direct investments in fossil fuel companies and to require indirect investments in fossil fuel companies be subjected to the Oxford Martin Principles.[97][98]"
paragraph,The total assets of the colleges of £6.3 billion also exceed total university assets of £4.1 billion.[93][92] The college figure does not reflect all the assets held by the colleges as their accounts do not include the cost or value of many of their main sites or heritage assets such as works of art or libraries.[99]
paragraph,"The university was one of the first in the UK to raise money through a major public fundraising campaign, the Campaign for Oxford. The current campaign, its second, was launched in May 2008 and is entitled ""Oxford Thinking – The Campaign for the University of Oxford"".[100] This is looking to support three areas: academic posts and programmes, student support, and buildings and infrastructure;[101] having passed its original target of £1.25 billion in March 2012, the target was raised to £3 billion.[102] The campaign had raised a total of £2.8 billion by July 2018.[92]"
paragraph,"The university has faced criticism for some of its sources of donations and funding. In 2017, attention was drawn to historical donations including All Souls College receiving £10,000 from slave trader Christopher Codrington in 1710,[103] and Oriel College having receiving taken £100,000 from the will of the imperialist Cecil Rhodes in 1902.[104][105] In 1996 a donation of £20 million was received from Wafic Saïd who was involved in the Al-Yammah arms deal,[106][107] and taking £150 million from the US billionaire businessman Stephen A. Schwarzman in 2019.[108] The university has defended its decisions saying it ""takes legal, ethical and reputational issues into consideration""."
paragraph,"The university has also faced criticism, as noted above, over its decision to accept donations from fossil fuel companies having received £21.8 million from the fossil fuel industry between 2010 and 2015[109] and £18.8 million between 2015 and 2020.[110][111]"
paragraph,"The university accepted £6 million from The Alexander Mosley Charitable Trust in 2021. Former racing driver Max Mosley said he set up the trust ""to house the fortune he inherited"" from his father,[112] Oswald Mosley, who was founder of two far right groups: Union Movement and the British Union of Fascists.[113]"
paragraph,"Oxford is a member of the Russell Group of research-led British universities, the G5, the League of European Research Universities, and the International Alliance of Research Universities. It is also a core member of the Europaeum and forms part of the ""golden triangle"" of highly research intensive and elite English universities.[114]"
paragraph,"In common with most British universities, prospective undergraduate students apply through the UCAS application system, but prospective applicants for the University of Oxford, along with those for medicine, dentistry, and University of Cambridge applicants, must observe an earlier deadline of 15 October.[127]  The Sutton Trust maintains that Oxford University and Cambridge University recruit undergraduates disproportionately from 8 schools which accounted for 1,310 Oxbridge places during three years, contrasted with 1,220 from 2,900 other schools.[128]"
paragraph,"To allow a more personalised judgement of students, who might otherwise apply for both, undergraduate applicants are not permitted to apply to both Oxford and Cambridge in the same year. The only exceptions are applicants for organ scholarships[129] and those applying to read for a second undergraduate degree.[130]
Oxford has the lowest offer rate of all Russell Group universities.[131]"
paragraph,"Most applicants choose to apply to one of the individual colleges. For undergraduates, these colleges work with each other to ensure that the best students gain a place somewhere at the university regardless of their college preferences. For postgraduates, all applicants who receive an offer from the university are guaranteed a college place, even if they do not receive a place at their chosen college.[132]"
paragraph,"Undergraduate shortlisting is based on achieved and predicted exam results, school references, and, in some subjects, written admission tests or candidate-submitted written work. Approximately 60% of applicants are shortlisted, although this varies by subject. If a large number of shortlisted applicants for a subject choose one college, then students who named that college may be reallocated randomly to under-subscribed colleges for the subject. The colleges then invite shortlisted candidates for interview, where they are provided with food and accommodation for around three days in December. Most undergraduate applicants will be individually interviewed by academics at more than one college. In 2020 interviews were moved online,[133] and they will remain online until at least 2027.[134]"
paragraph,"Undergraduate offers are sent out in early January, with each offer usually being from a specific college. One in four successful candidates receives an offer from a college that they did not apply to. Some courses may make ""open offers"" to some candidates, who are not assigned to a particular college until A Level results day in August.[135][136]"
paragraph,"The university has come under criticism for the number of students it accepts from private schools;[137] for instance, Laura Spence's rejection from the university in 2000 led to widespread debate.[138] In 2016, the University of Oxford gave 59% of offers to UK students to students from state schools, while about 93% of all UK pupils and 86% of post-16 UK pupils are educated in state schools.[139][140][141] However, 64% of UK applicants were from state schools and the university notes that state school students apply disproportionately to oversubscribed subjects.[142] The proportion of students coming from state schools has been increasing. From 2015 to 2019, the state proportion of total UK students admitted each year was: 55.6%, 58.0%, 58.2%, 60.5% and 62.3%.[143] Oxford University spends over £6 million per year on outreach programs to encourage applicants from underrepresented demographics.[139]"
paragraph,"In 2018 the university's annual admissions report revealed that eight of Oxford's colleges had accepted fewer than three black applicants in the past three years.[144] Labour MP David Lammy said, ""This is social apartheid and it is utterly unrepresentative of life in modern Britain.""[145] In 2020, Oxford had increased its proportion of Black, Asian and Minority Ethnic (BAME) students to record levels.[146][147] The number of BAME undergraduates accepted to the university in 2020 rose to 684 students, or 23.6% of the UK intake, up from 558 or 22% in 2019; the number of Black students was 106 (3.7% of the intake), up from 80 students (3.2%).[147][148] UCAS data also showed that Oxford is more likely than comparable institutions to make offers to ethnic minority and socially disadvantaged pupils.[146]"
paragraph,"Undergraduate teaching is centred on the tutorial, where 1–4 students spend an hour with an academic discussing their week's work, usually an essay (humanities, most social sciences, some mathematical, physical, and life sciences) or problem sheet (most mathematical, physical, and life sciences, and some social sciences). The university itself is responsible for conducting examinations and conferring degrees. Undergraduate teaching takes place during three eight-week academic terms: Michaelmas, Hilary and Trinity.[149] (These are officially known as 'Full Term': 'Term' is a lengthier period with little practical significance.) Internally, the weeks in a term begin on Sundays, and are referred to numerically, with the initial week known as ""first week"", the last as ""eighth week"" and with the numbering extended to refer to weeks before and after term (for example ""noughth week"" precedes term).[150] Undergraduates must be in residence from Thursday of 0th week. These teaching terms are shorter than those of most other British universities,[151] and their total duration amounts to less than half the year. However, undergraduates are also expected to do some academic work during the three holidays (known as the Christmas, Easter, and Long Vacations)."
paragraph,Research degrees at the master's and doctoral level are conferred in all subjects studied at graduate level at the university.[citation needed]
paragraph,"There are many opportunities for students at Oxford to receive financial help during their studies. The Oxford Opportunity Bursaries, introduced in 2006, are university-wide means-based bursaries available to any British undergraduate, with a total possible grant of £10,235 over a 3-year degree. In addition, individual colleges also offer bursaries and funds to help their students. For graduate study, there are many scholarships attached to the university, available to students from all sorts of backgrounds, from Rhodes Scholarships to the relatively new Weidenfeld Scholarships.[152] Oxford also offers the Clarendon Scholarship which is open to graduate applicants of all nationalities.[153] The Clarendon Scholarship is principally funded by Oxford University Press in association with colleges and other partnership awards.[154][155] In 2016, Oxford University announced that it is to run its first free online economics course as part of a ""massive open online course"" (Mooc) scheme, in partnership with a US online university network.[156] The course available is called 'From Poverty to Prosperity: Understanding Economic Development'."
paragraph,"Students successful in early examinations are rewarded by their colleges with scholarships and exhibitions, normally the result of a long-standing endowment, although since the introduction of tuition fees the amounts of money available are purely nominal. Scholars, and exhibitioners in some colleges, are entitled to wear a more voluminous undergraduate gown; ""commoners"" (originally those who had to pay for their ""commons"", or food and lodging) are restricted to a short, sleeveless garment. The term ""scholar"" in relation to Oxford therefore has a specific meaning as well as the more general meaning of someone of outstanding academic ability. In previous times, there were ""noblemen commoners"" and ""gentlemen commoners"", but these ranks were abolished in the 19th century. ""Closed"" scholarships, available only to candidates who fitted specific conditions such as coming from specific schools, were abolished in the 1970s and 1980s.[157]"
paragraph,"The university maintains the largest university library system in the UK,[17] and, with over 11 million volumes housed on 120 miles (190 km) of shelving, the Bodleian group is the second-largest library in the UK, after the British Library. The Bodleian is a legal deposit library, which means that it is entitled to request a free copy of every book published in the UK. As such, its collection is growing at a rate of over three miles (five kilometres) of shelving every year.[158]"
paragraph,"The buildings referred to as the university's main research library, The Bodleian, consist of the original Bodleian Library in the Old Schools Quadrangle, founded by Sir Thomas Bodley in 1598 and opened in 1602,[159] the Radcliffe Camera, the Clarendon Building, and the Weston Library. A tunnel underneath Broad Street connects these buildings, with the Gladstone Link, which opened to readers in 2011, connecting the Old Bodleian and Radcliffe Camera."
paragraph,"The Bodleian Libraries group was formed in 2000, bringing the Bodleian Library and some of the subject libraries together.[160] It now comprises 28[161] libraries, a number of which have been created by bringing previously separate collections together, including the Sackler Library, Law Library, Social Science Library and Radcliffe Science Library.[160] Another major product of this collaboration has been a joint integrated library system, OLIS (Oxford Libraries Information System),[162] and its public interface, SOLO (Search Oxford Libraries Online), which provides an electronic catalogue covering all member libraries, as well as the libraries of individual colleges and other faculty libraries, which are not members of the group but do share cataloguing information.[163]"
paragraph,"A new book depository opened in South Marston, Swindon, in October 2010,[164] and recent building projects include the remodelling of the New Bodleian building, which was renamed the Weston Library when it reopened in 2015.[165][166] The renovation is designed to better showcase the library's various treasures (which include a Shakespeare First Folio and a Gutenberg Bible) as well as temporary exhibitions."
paragraph,"The Bodleian engaged in a mass-digitisation project with Google in 2004.[167][168] Notable electronic resources hosted by the Bodleian Group include the Electronic Enlightenment Project, which was awarded the 2010 Digital Prize by the British Society for Eighteenth-Century Studies.[169]"
paragraph,"Oxford maintains a number of museums and galleries, open for free to the public. The Ashmolean Museum, founded in 1683, is the oldest museum in the UK, and the oldest university museum in the world.[170] It holds significant collections of art and archaeology, including works by Michelangelo, Leonardo da Vinci, Turner, and Picasso, as well as treasures such as the Scorpion Macehead, the Parian Marble and the Alfred Jewel. It also contains ""The Messiah"", a pristine Stradivarius violin, regarded by some as one of the finest examples in existence.[171]"
paragraph,"The University Museum of Natural History holds the university's zoological, entomological and geological specimens. It is housed in a large neo-Gothic building on Parks Road, in the university's Science Area.[172][173] Among its collection are the skeletons of a Tyrannosaurus rex and Triceratops, and the most complete remains of a dodo found anywhere in the world. It also hosts the Simonyi Professorship of the Public Understanding of Science, currently held by Marcus du Sautoy.[174]"
paragraph,"Adjoining the Museum of Natural History is the Pitt Rivers Museum, founded in 1884, which displays the university's archaeological and anthropological collections, currently holding over 500,000 items. It recently built a new research annexe; its staff have been involved with the teaching of anthropology at Oxford since its foundation, when as part of his donation General Augustus Pitt Rivers stipulated that the university establish a lectureship in anthropology.[175]"
paragraph,"The Museum of the History of Science is housed on Broad Street in the world's oldest-surviving purpose-built museum building.[176] It contains 15,000 artefacts, from antiquity to the 20th century, representing almost all aspects of the history of science. In the Faculty of Music on St Aldate's is the Bate Collection of Musical Instruments, a collection mostly of instruments from Western classical music, from the medieval period onwards. Christ Church Picture Gallery holds a large collection of old master paintings and drawings.[177]"
paragraph,"The Oxford University Press is the world's second oldest and currently the largest university press by the number of publications.[178] More than 6,000 new books are published annually,[179] including many reference, professional, and academic works (such as the Oxford English Dictionary, the Concise Oxford English Dictionary, the Oxford World's Classics, the Oxford Dictionary of National Biography, and the Concise Dictionary of National Biography)."
